Content,score
unable see per minute trading view pooe experience,2
invester friendly,5
pawar apps,5
kiiazzzzzzzz zz zz,2
bill recharge available,4
awesome service,5
err eeee eew ree ee s,4
soooooooooo pol lo oloo op ka note ooo,5
good app supportive app,4
poor panoti garib bhikari app account everytime dont install app,1
good app investment,4
want money return,3
intradey tool really bad wont able exit order time customer support team useless day time groww customer support,3
good lag open app,4
please add watchlist commodity,5
bug overall good experience may need revise mtf intrest broker take 10pa,3
best app,5
awesome app treding,5
good experience farfew improvement suggested time time,4
f sent f h arch key feature f f theft ith different rhyt u h arch support,3
immediate solution issue easy operate,5
deducted much money trading account beware retailer broker robber gang,1
groww really helpful app,5
many frauders involved app trust dont invest market getting worse day day,1
dont even consider app app designed lose money trader maximum time app wont execute correct orderfor intraday trader place trade nse app execute try add sl target order switch nse bse wont notice lot order related issue,1
excellent app,5
invested 10k debt fund received cheque wrong ac number,1
commodity market kab ayega abhi tak aya nahi hai delivery time price hike kiya hai 2 r 5 r hogya,1
good app,5
totally froud aap hi grow team facing login isuue device reset data pls solve issue urgently choosing mail id error facing something went wrong iam taking new version app play store isuue solve pls check solve issue error,2
faltu paie ki barbadi,1
unusual app download,1
v good,5
broker lot charge go zerodha,1
good app investmentjust one feature required thats finance aggregator please provide user track finance groww app,5
bahut achcha hai uska profit bahut achcha lagta hai,5
yah bhi aap koi madad karna fake trading hota hai ismein,1
sometimes able calculate math option correctly app kid compared others technical issue,3
superb app ease saving,5
good morning,5
love app good interface,5
k u u u 7 6 l mkm mey pbm b gihv,3
one best aap investment,5
good apk,4
dear groww team feel lagg issue updating groww app,3
glitch,1
best app trading,5
best treding aap,5
bad thing money withdrawal prosses bad withdrawal money yesterday spend 3 day money received bank account groww faill payment show money prossaing refund groww account bad condition groww app told never use groww app life also told friend family member use groww app thanks,1
brokerage others commission suck profit groww 4 demat account cant use groww using platform groww reduce unusual charge use,1
update detail,4
good,5
love,5
im using groww app last 3 year could see bug im trying switch current mutual fund sip mutual fund sip app getting closed automatically someone fix asap,3
super nice,5
good investment trading purpose,4
nice one,5
mutual fund please add swp stp option important managing mutual fund,4
nice se,5
great app hidden fee,5
amazing,4
simple good,5
sometimes application opened always problem right got problem working groww app,2
ap lot glitch,1
bring back ipo looked previously,1
rsi rsi groww app,5
nice fast,5
gajab ka app ha,5
well done,5
app nice use give u information stock market like much,5
please create feature smerge stock holding based sector form basket consolidated view via sector 30 stock stock holding section difficult track better kind feature available thanks advance,1
one best user friendly app demat,5
groww super easy use clean interface smooth kyc quick transaction investment option one app perfect beginner well regular investor,5
set limit price buy stock option time price come price order doesnot get executed kindly look issue,4
fundamental technical analysis nahin deta hai jo har kisi ko samajh aaya,4
grow direction chalta hai hum u side ka trade karne ke baad hi der main trend change app se rahe,1
working fine,5
1dgiyfoucfrjvkkghkjjvcbn u15igvnx p8g,5
good interface easy use brokerage charge high brokerage charge reduce developer best broker india disadvantage face provided commodity trading smart order section like stop losstrailing stop lossinstant order chart etc,1
abduljabbar,5
good service,5
download app app fraud weigh amount get money people also get money app weigh amount please bro download,1
paur na ikb hai vb ir hai ham kahan hai ham,5
check ongoing sip etf listed mf sip section,3
easy access,5
investing app best,5
ussfull,5
app good one problem macd indicater showing please solve,3
good app,5
dont recommend use appdeposit quick withdraw slow 4 5,1
tshirt bhejne ki jagah kuch customised bhej yr,5
dear groww team actively using platform intraday trading scalping experience smooth overall noticed one issue scalper mode currently stop loss sl target tp cannot dragged directly chart order placement scalper quick adjustm,4
marvelous,5
please provide web scalping stoploss trailing feature,3
fix website platform landscape device exm tabletpcmac6 month web app experience good,4
hi hi best trading platform important trading platform life money without money trading earn money zero rupee groww app like hope payment successful without money trading thank groww,5
groww provide option check xirr etf investment must check growth investment,2
excellent platform invest stock,5
good response,4
app really deserves 5 star rating cant possibly ask anything time,5
best treding aap thanks lot,5
best broker,5
best opportunity,5
worst application ever,1
worst app want see mtf interest ledger mtf loss ledger app hide transaction,1
nice app,5
invest sappotar,5
vary good app,4
please add account switch option family member,3
app good charge taking fno trade high reduce charge,1
great experience,5
good thind,5
worst app,1
hi please script rotate news script reliance 1 mean serial number first 10,4
withdrawal process toughif hou closed previous accountand dont information thati trying 2yearsat time investment show message itworst experience mailed already process relevant,1
well organized platform,5
good groww stock,5
groww app working unable open pls needful regard,5
groww one popular investment trading apps india designed make investing simple secure userfriendly beginner well experienced investor app allows people invest mutual fund stock gold fixed deposit u stock one place clean design simple interface easy navigation made groww trusted choice among million indian investor user interface experience first thing user notice gro,5
perfect new user come user friendly feature easy understand interface,5
remove transparancy charge keep visible everything fine mainly ui,5
branding also official channel techno affan gameplay give offer stock market app much good,5
groww one best apps beginner well experienced investor interface clean simple making easy invest stock mutual fund option transaction smooth app provides clear insight report track investment customer support also responsive overall safe userfriendly platform hasslefree investing,5
excellent,5
easy simple,5
motivated future,5
minimal ui easy digest navigation useful tool inside overall good experience,4
hidden charge cant see stop loss option showing front buying order,1
used app app fraud app referal programme totally false give reward money zerodha dhan app far better app grow,1
bahut hi badhiya guru app,5
good aap,5
transferring money grow ac bank account take 1 day time share sold kindly take matter seriously,1
groww app growing getting better everyday,5
app close device go holding tab big issue,1
good experience till except consent taken storing new mutual fund holding demat form reducing one star previous 5 star rating,4
better chat gpt,1
good,5
supar aap,5
updemat account start s vesting trading groww one app invest trade stock mutual fund future option trading fno margin trading facility pp,3
great app easy use thanks groww team,5
good app trading,5
groww nice apps,5
easy use,5
mobile number email change karne par 118 r ka paid kar diya kya itni jarurat pad gayi peso ki iam deleting best angle one free,1
experience trading india eat money badly lose money tiny profit sometimes even rupee originally owned gone tax dp charge brokerage gst bank fee transaction fee wallet provide groww fee hidden cost even sell profit fee tax take money including tax dp charger higher profit,5
trying grow stock app start 2025 investment invest 1k per month 25 year gustwait result waiting,5
trusted aap,4
beautiful,5
good app mf stock brokerage reduced,5
good,5
one best app new investets,5
good app great ui,5
fun tastic,5
high brokrage,4
fno charg ok hiden charg yy show screen froud grow company,1
nice app market digital upload nice grow fast sebi control,5
worst customer service,1
good app grow,5
app easy use good app,5
best app share market trading,5
totaly waste money given 0 profite withoute permition losse money,1
easy convenient use new investing people well,5
better fill first experience sip,5
ek chi isme missing hai hai anchored vwap sir usko bhi add karey plziske liye humko 2ra app use karna par raha hai,4
feel good,5
able access data 4h 3months equity index also,3
good app,5
plz go 4 bank fd ye sabhi broker common logon ki mehnat ki kamai ko loot le jayenge agar koi soche ki yaha se 1 v earn karega ye bhool hogi ye lutne k liye hi baithe hain agar galti se kabhi 500 1000 profit ho jayega 5000 inka brokerage aur charge v ho jayegaisliye grow dhanfyers iifl upstox sabhi ke sabhi sarkari agent aur kaha jaye share market lootne ke liye hi bana hai jo sarkar ke isare pr kam karti hai careful,1
easy trading,5
easy use user friendly app ots intergace simple analyse,5
good app broker charge bhut jada,5
excellent helpful app bigeners thnk groww,5
hello groww team 22 aug 2025 pledgeunpledge charge 2360 deduction made account never informed advance charge per sebi investor protection rule charge must clearly disclosed levying raised concern support team replied responsibility research charge sebi transparency guideline broker cannot shift responsibility client,1
overall experience great problem app font size font size app small put strain eye request developer increase font size little bit comfortable navigation,4
ultimate,5
groww zerodha,5
app nice understanding invest suggest update new feature like beginning video advance stock market basic stock market ipo bond improve trust download increase,5
delayed update transaction ipo update seen application inspite closure ipo useless delayed customer care support section app work,1
outstanding,5
amazing app,5
vgood need feature fundamental analysis need direct mobile recharge upi,4
nice app,5
chat pattan sahi hona chahie,1
fraud app automatically buy sell sometimes,1
grow app fantastic userfriendly platform good beginner clean design intuitive navigation make financial management simple stressfree clear insight timely update smooth functionality help user make informed decision effortlessly reliable efficient grow perfect confident financial growth,5
money,5
user friendly,5
good groww trading,5
